ID,Brand,CPUrating,RAM,GPUrating,,Concat,,,,,,,,,,,
48,1,1,4,2,,"48,1,1,4,2",,,,,,,,,,,
49,1,2,8,2,,"49,1,2,8,2",,,,,,,,,,,
50,4,3,16,5,,"50,4,3,16,5",,,,,,,,,,,
51,5,5,4,5,,"51,5,5,4,5",,,,,,,,,,,
52,2,5,8,5,,"52,2,5,8,5",,,,,,,,,,,
53,5,3,4,3,,"53,5,3,4,3",,,,,,,,,,,
54,2,2,4,4,,"54,2,2,4,4",,,,,,,,,,,
55,5,3,16,5,,"55,5,3,16,5",,,,,,,,,,,
56,3,3,4,2,,"56,3,3,4,2",,,,,,,,,,,
57,1,3,8,1,,"57,1,3,8,1",,,,,,,,,,,
58,5,2,8,2,,"58,5,2,8,2",,,,,,,,,,,
59,5,1,4,4,,"59,5,1,4,4",,,,,,,,,,,
60,3,1,4,4,,"60,3,1,4,4",,,,,,,,,,,
61,5,1,8,4,,"61,5,1,8,4",,,,,,,,,,,
62,5,5,8,1,,"62,5,5,8,1",,,,,,,,,,,
63,4,5,4,1,,"63,4,5,4,1",,,,,,,,,,,
64,4,5,16,3,,"64,4,5,16,3",,,,,,,,,,,
65,5,2,16,2,,"65,5,2,16,2",,,,,,,,,,,
66,3,2,16,5,,"66,3,2,16,5",,,,,,,,,,,
67,2,4,8,2,,"67,2,4,8,2",,,,,,,,,,,
68,5,5,4,5,,"68,5,5,4,5",,,,,,,,,,,
69,3,2,4,4,,"69,3,2,4,4",,,,,,,,,,,
70,2,4,4,1,,"70,2,4,4,1",,,,,,,,,,,
71,1,2,8,4,,"71,1,2,8,4",,,,,,,,,,,
72,3,1,4,3,,"72,3,1,4,3",,,,,,,,,,,
73,2,5,8,3,,"73,2,5,8,3",,,,,,,,,,,
74,5,1,4,4,,"74,5,1,4,4",,,,,,,,,,,
75,4,4,16,3,,"75,4,4,16,3",,,,,,,,,,,
76,3,5,16,2,,"76,3,5,16,2",,,,,,,,,,,
77,1,2,8,5,,"77,1,2,8,5",,,,,,,,,,,
78,1,3,8,5,,"78,1,3,8,5",,,,,,,,,,,
79,4,2,8,5,,"79,4,2,8,5",,,,,,,,,,,
80,5,2,4,5,,"80,5,2,4,5",,,,,,,,,,,
81,3,3,8,2,,"81,3,3,8,2",,,,,,,,,,,
82,4,2,16,1,,"82,4,2,16,1",,,,,,,,,,,
83,1,4,4,5,,"83,1,4,4,5",,,,,,,,,,,
84,5,2,16,5,,"84,5,2,16,5",,,,,,,,,,,
85,4,2,16,5,,"85,4,2,16,5",,,,,,,,,,,
86,1,1,8,1,,"86,1,1,8,1",,,,,,,,,,,
87,3,5,8,1,,"87,3,5,8,1",,,,,,,,,,,
88,1,1,8,2,,"88,1,1,8,2",,,,,,,,,,,
89,3,4,4,2,,"89,3,4,4,2",,,,,,,,,,,
90,1,3,16,3,,"90,1,3,16,3",,,,,,,,,,,
91,4,5,4,2,,"91,4,5,4,2",,,,,,,,,,,
92,1,5,8,3,,"92,1,5,8,3",,,,,,,,,,,
93,5,3,4,5,,"93,5,3,4,5",,,,,,,,,,,
94,1,4,8,5,,"94,1,4,8,5",,,,,,,,,,,
95,2,2,16,5,,"95,2,2,16,5",,,,,,,,,,,
96,5,5,8,5,,"96,5,5,8,5",,,,,,,,,,,
97,3,1,16,2,,"97,3,1,16,2",,,,,,,,,,,
98,5,4,8,2,,"98,5,4,8,2",,,,,,,,,,,
99,1,3,16,2,,"99,1,3,16,2",,,,,,,,,,,
100,2,4,16,1,,"100,2,4,16,1",,,,,,,,,,,
101,2,3,8,1,,"101,2,3,8,1",,,,,,,,,,,
102,1,1,16,5,,"102,1,1,16,5",,,,,,,,,,,
103,5,5,8,2,,"103,5,5,8,2",,,,,,,,,,,
104,4,3,4,1,,"104,4,3,4,1",,,,,,,,,,,
105,5,2,16,4,,"105,5,2,16,4",,,,,,,,,,,
106,2,1,4,2,,"106,2,1,4,2",,,,,,,,,,,
107,2,2,8,4,,"107,2,2,8,4",,,,,,,,,,,
108,3,5,4,1,,"108,3,5,4,1",,,,,,,,,,,
109,5,5,4,5,,"109,5,5,4,5",,,,,,,,,,,
110,3,2,16,4,,"110,3,2,16,4",,,,,,,,,,,
111,4,3,8,5,,"111,4,3,8,5",,,,,,,,,,,
112,2,4,4,2,,"112,2,4,4,2",,,,,,,,,,,
113,5,1,8,2,,"113,5,1,8,2",,,,,,,,,,,
114,2,4,4,2,,"114,2,4,4,2",,,,,,,,,,,
115,3,4,8,1,,"115,3,4,8,1",,,,,,,,,,,
116,5,5,4,1,,"116,5,5,4,1",,,,,,,,,,,
117,2,2,4,1,,"117,2,2,4,1",,,,,,,,,,,
118,1,4,8,1,,"118,1,4,8,1",,,,,,,,,,,
119,2,2,4,3,,"119,2,2,4,3",,,,,,,,,,,
120,1,5,16,3,,"120,1,5,16,3",,,,,,,,,,,
121,2,2,4,1,,"121,2,2,4,1",,,,,,,,,,,
122,2,4,16,2,,"122,2,4,16,2",,,,,,,,,,,
123,1,1,16,5,,"123,1,1,16,5",,,,,,,,,,,
124,3,4,4,2,,"124,3,4,4,2",,,,,,,,,,,
125,1,3,4,1,,"125,1,3,4,1",,,,,,,,,,,
126,2,3,8,4,,"126,2,3,8,4",,,,,,,,,,,
127,1,1,8,3,,"127,1,1,8,3",,,,,,,,,,,
128,3,3,8,3,,"128,3,3,8,3",,,,,,,,,,,
129,2,3,16,5,,"129,2,3,16,5",,,,,,,,,,,
130,2,2,8,3,,"130,2,2,8,3",,,,,,,,,,,
131,3,3,16,3,,"131,3,3,16,3",,,,,,,,,,,
132,2,3,16,4,,"132,2,3,16,4",,,,,,,,,,,
133,1,2,4,2,,"133,1,2,4,2",,,,,,,,,,,
134,4,2,16,1,,"134,4,2,16,1",,,,,,,,,,,
135,4,4,8,4,,"135,4,4,8,4",,,,,,,,,,,
136,2,1,16,5,,"136,2,1,16,5",,,,,,,,,,,
137,1,2,4,2,,"137,1,2,4,2",,,,,,,,,,,
138,4,2,8,1,,"138,4,2,8,1",,,,,,,,,,,
139,3,5,8,2,,"139,3,5,8,2",,,,,,,,,,,
140,1,5,4,2,,"140,1,5,4,2",,,,,,,,,,,
141,3,4,4,1,,"141,3,4,4,1",,,,,,,,,,,
142,2,1,8,1,,"142,2,1,8,1",,,,,,,,,,,
143,2,5,16,5,,"143,2,5,16,5",,,,,,,,,,,
144,3,1,8,4,,"144,3,1,8,4",,,,,,,,,,,
145,2,3,16,2,,"145,2,3,16,2",,,,,,,,,,,
146,4,5,8,1,,"146,4,5,8,1",,,,,,,,,,,
147,5,5,4,4,,"147,5,5,4,4",,,,,,,,,,,
148,1,2,8,2,,"148,1,2,8,2",,,,,,,,,,,
149,4,3,8,2,,"149,4,3,8,2",,,,,,,,,,,
150,1,1,4,3,,"150,1,1,4,3",,,,,,,,,,,
151,4,2,8,3,,"151,4,2,8,3",,,,,,,,,,,
152,1,3,16,2,,"152,1,3,16,2",,,,,,,,,,,
153,5,4,8,5,,"153,5,4,8,5",,,,,,,,,,,
154,3,2,16,1,,"154,3,2,16,1",,,,,,,,,,,
155,3,5,8,2,,"155,3,5,8,2",,,,,,,,,,,
156,3,1,4,1,,"156,3,1,4,1",,,,,,,,,,,
157,5,2,16,1,,"157,5,2,16,1",,,,,,,,,,,
158,3,4,4,5,,"158,3,4,4,5",,,,,,,,,,,
159,2,2,4,1,,"159,2,2,4,1",,,,,,,,,,,
160,2,3,8,3,,"160,2,3,8,3",,,,,,,,,,,
161,1,5,8,2,,"161,1,5,8,2",,,,,,,,,,,
162,2,1,8,1,,"162,2,1,8,1",,,,,,,,,,,
163,1,2,16,2,,"163,1,2,16,2",,,,,,,,,,,
164,5,5,4,4,,"164,5,5,4,4",,,,,,,,,,,
165,3,4,8,4,,"165,3,4,8,4",,,,,,,,,,,
166,3,5,16,3,,"166,3,5,16,3",,,,,,,,,,,
167,1,4,4,1,,"167,1,4,4,1",,,,,,,,,,,
168,3,3,4,4,,"168,3,3,4,4",,,,,,,,,,,
169,2,4,16,5,,"169,2,4,16,5",,,,,,,,,,,
170,5,3,16,2,,"170,5,3,16,2",,,,,,,,,,,
171,5,1,16,2,,"171,5,1,16,2",,,,,,,,,,,
172,4,1,8,5,,"172,4,1,8,5",,,,,,,,,,,
173,5,1,16,5,,"173,5,1,16,5",,,,,,,,,,,
174,5,4,8,1,,"174,5,4,8,1",,,,,,,,,,,
175,2,2,8,5,,"175,2,2,8,5",,,,,,,,,,,
176,2,4,16,1,,"176,2,4,16,1",,,,,,,,,,,
177,1,2,4,5,,"177,1,2,4,5",,,,,,,,,,,
178,5,3,4,4,,"178,5,3,4,4",,,,,,,,,,,
179,1,5,4,5,,"179,1,5,4,5",,,,,,,,,,,
180,4,2,8,2,,"180,4,2,8,2",,,,,,,,,,,
181,3,3,8,1,,"181,3,3,8,1",,,,,,,,,,,
182,5,5,16,2,,"182,5,5,16,2",,,,,,,,,,,
183,4,1,4,2,,"183,4,1,4,2",,,,,,,,,,,
184,4,1,16,3,,"184,4,1,16,3",,,,,,,,,,,
185,1,5,4,4,,"185,1,5,4,4",,,,,,,,,,,
186,3,4,16,4,,"186,3,4,16,4",,,,,,,,,,,
187,3,5,8,2,,"187,3,5,8,2",,,,,,,,,,,
188,5,2,4,4,,"188,5,2,4,4",,,,,,,,,,,
189,3,3,4,5,,"189,3,3,4,5",,,,,,,,,,,
190,5,3,16,3,,"190,5,3,16,3",,,,,,,,,,,
191,3,1,8,4,,"191,3,1,8,4",,,,,,,,,,,
192,5,1,8,4,,"192,5,1,8,4",,,,,,,,,,,
193,4,2,4,5,,"193,4,2,4,5",,,,,,,,,,,
194,4,1,16,4,,"194,4,1,16,4",,,,,,,,,,,
195,1,4,4,5,,"195,1,4,4,5",,,,,,,,,,,
196,2,1,16,5,,"196,2,1,16,5",,,,,,,,,,,
197,3,1,8,4,,"197,3,1,8,4",,,,,,,,,,,
198,5,5,16,4,,"198,5,5,16,4",,,,,,,,,,,
199,3,2,8,5,,"199,3,2,8,5",,,,,,,,,,,
200,2,1,8,5,,"200,2,1,8,5",,,,,,,,,,,
201,2,3,8,4,,"201,2,3,8,4",,,,,,,,,,,
202,3,1,16,2,,"202,3,1,16,2",,,,,,,,,,,
203,5,5,4,5,,"203,5,5,4,5",,,,,,,,,,,
204,2,4,4,5,,"204,2,4,4,5",,,,,,,,,,,
205,3,1,16,5,,"205,3,1,16,5",,,,,,,,,,,
206,2,2,8,3,,"206,2,2,8,3",,,,,,,,,,,
207,5,4,8,4,,"207,5,4,8,4",,,,,,,,,,,
208,3,3,8,4,,"208,3,3,8,4",,,,,,,,,,,
209,3,1,8,3,,"209,3,1,8,3",,,,,,,,,,,
210,5,1,4,4,,"210,5,1,4,4",,,,,,,,,,,
211,1,1,16,3,,"211,1,1,16,3",,,,,,,,,,,
212,2,5,4,1,,"212,2,5,4,1",,,,,,,,,,,
213,1,4,16,1,,"213,1,4,16,1",,,,,,,,,,,
214,3,4,8,1,,"214,3,4,8,1",,,,,,,,,,,
215,2,1,16,4,,"215,2,1,16,4",,,,,,,,,,,
216,2,1,4,2,,"216,2,1,4,2",,,,,,,,,,,
217,1,3,4,2,,"217,1,3,4,2",,,,,,,,,,,
218,1,5,8,1,,"218,1,5,8,1",,,,,,,,,,,
219,4,1,8,3,,"219,4,1,8,3",,,,,,,,,,,
220,1,1,4,4,,"220,1,1,4,4",,,,,,,,,,,
221,3,4,4,4,,"221,3,4,4,4",,,,,,,,,,,
222,1,4,4,1,,"222,1,4,4,1",,,,,,,,,,,
223,4,3,16,1,,"223,4,3,16,1",,,,,,,,,,,
224,2,4,4,1,,"224,2,4,4,1",,,,,,,,,,,
225,5,1,4,4,,"225,5,1,4,4",,,,,,,,,,,
226,5,3,16,1,,"226,5,3,16,1",,,,,,,,,,,
227,1,3,16,4,,"227,1,3,16,4",,,,,,,,,,,
228,3,3,16,3,,"228,3,3,16,3",,,,,,,,,,,
229,3,5,8,1,,"229,3,5,8,1",,,,,,,,,,,
230,2,4,4,5,,"230,2,4,4,5",,,,,,,,,,,
231,5,5,16,4,,"231,5,5,16,4",,,,,,,,,,,
232,3,3,4,4,,"232,3,3,4,4",,,,,,,,,,,
233,5,3,4,1,,"233,5,3,4,1",,,,,,,,,,,
234,3,5,4,5,,"234,3,5,4,5",,,,,,,,,,,
235,1,5,16,3,,"235,1,5,16,3",,,,,,,,,,,
236,3,5,8,4,,"236,3,5,8,4",,,,,,,,,,,
237,2,5,4,1,,"237,2,5,4,1",,,,,,,,,,,
238,4,4,8,3,,"238,4,4,8,3",,,,,,,,,,,
239,2,5,4,1,,"239,2,5,4,1",,,,,,,,,,,
240,3,5,8,3,,"240,3,5,8,3",,,,,,,,,,,
241,3,2,4,5,,"241,3,2,4,5",,,,,,,,,,,
242,2,5,16,5,,"242,2,5,16,5",,,,,,,,,,,
243,2,2,4,2,,"243,2,2,4,2",,,,,,,,,,,
244,4,1,16,5,,"244,4,1,16,5",,,,,,,,,,,
245,3,2,16,4,,"245,3,2,16,4",,,,,,,,,,,
246,5,5,8,2,,"246,5,5,8,2",,,,,,,,,,,
247,3,1,16,1,,"247,3,1,16,1",,,,,,,,,,,
248,3,4,16,2,,"248,3,4,16,2",,,,,,,,,,,
249,2,1,16,3,,"249,2,1,16,3",,,,,,,,,,,
250,2,4,16,4,,"250,2,4,16,4",,,,,,,,,,,
251,3,5,8,1,,"251,3,5,8,1",,,,,,,,,,,
252,2,1,4,1,,"252,2,1,4,1",,,,,,,,,,,
253,2,2,8,4,,"253,2,2,8,4",,,,,,,,,,,
254,2,3,4,4,,"254,2,3,4,4",,,,,,,,,,,
255,5,4,16,2,,"255,5,4,16,2",,,,,,,,,,,
256,5,5,8,4,,"256,5,5,8,4",,,,,,,,,,,
257,4,5,4,2,,"257,4,5,4,2",,,,,,,,,,,
258,4,5,8,1,,"258,4,5,8,1",,,,,,,,,,,
259,3,4,16,2,,"259,3,4,16,2",,,,,,,,,,,
260,3,4,8,2,,"260,3,4,8,2",,,,,,,,,,,
261,5,1,8,2,,"261,5,1,8,2",,,,,,,,,,,
262,2,4,4,1,,"262,2,4,4,1",,,,,,,,,,,
263,4,4,16,2,,"263,4,4,16,2",,,,,,,,,,,
264,4,1,16,2,,"264,4,1,16,2",,,,,,,,,,,
265,5,4,16,5,,"265,5,4,16,5",,,,,,,,,,,
266,4,2,8,4,,"266,4,2,8,4",,,,,,,,,,,
267,2,1,4,5,,"267,2,1,4,5",,,,,,,,,,,
268,1,2,4,3,,"268,1,2,4,3",,,,,,,,,,,
269,1,5,16,3,,"269,1,5,16,3",,,,,,,,,,,
270,5,5,4,1,,"270,5,5,4,1",,,,,,,,,,,
271,5,3,4,5,,"271,5,3,4,5",,,,,,,,,,,
272,4,1,4,5,,"272,4,1,4,5",,,,,,,,,,,
273,3,4,8,3,,"273,3,4,8,3",,,,,,,,,,,
274,1,3,8,2,,"274,1,3,8,2",,,,,,,,,,,
275,1,4,4,2,,"275,1,4,4,2",,,,,,,,,,,
276,1,4,4,4,,"276,1,4,4,4",,,,,,,,,,,
277,5,4,16,2,,"277,5,4,16,2",,,,,,,,,,,
278,5,4,4,2,,"278,5,4,4,2",,,,,,,,,,,
279,2,3,8,4,,"279,2,3,8,4",,,,,,,,,,,
280,2,5,16,3,,"280,2,5,16,3",,,,,,,,,,,
281,2,4,16,3,,"281,2,4,16,3",,,,,,,,,,,
282,2,2,16,5,,"282,2,2,16,5",,,,,,,,,,,
283,2,1,16,3,,"283,2,1,16,3",,,,,,,,,,,
284,5,5,8,2,,"284,5,5,8,2",,,,,,,,,,,
285,4,4,16,4,,"285,4,4,16,4",,,,,,,,,,,
286,4,3,16,5,,"286,4,3,16,5",,,,,,,,,,,
287,4,3,8,5,,"287,4,3,8,5",,,,,,,,,,,
288,1,2,16,4,,"288,1,2,16,4",,,,,,,,,,,
289,5,4,4,5,,"289,5,4,4,5",,,,,,,,,,,
290,4,4,16,3,,"290,4,4,16,3",,,,,,,,,,,
291,5,3,4,3,,"291,5,3,4,3",,,,,,,,,,,
292,2,2,8,4,,"292,2,2,8,4",,,,,,,,,,,
293,2,5,16,2,,"293,2,5,16,2",,,,,,,,,,,
294,3,2,4,3,,"294,3,2,4,3",,,,,,,,,,,
295,5,3,16,5,,"295,5,3,16,5",,,,,,,,,,,
296,2,3,4,2,,"296,2,3,4,2",,,,,,,,,,,
297,4,4,4,5,,"297,4,4,4,5",,,,,,,,,,,
298,3,4,8,5,,"298,3,4,8,5",,,,,,,,,,,
299,5,3,8,4,,"299,5,3,8,4",,,,,,,,,,,
300,1,5,8,1,,"300,1,5,8,1",,,,,,,,,,,
301,1,4,8,5,,"301,1,4,8,5",,,,,,,,,,,
302,4,2,4,5,,"302,4,2,4,5",,,,,,,,,,,
303,5,3,8,4,,"303,5,3,8,4",,,,,,,,,,,
304,2,5,16,3,,"304,2,5,16,3",,,,,,,,,,,
305,2,5,4,2,,"305,2,5,4,2",,,,,,,,,,,
306,2,3,8,1,,"306,2,3,8,1",,,,,,,,,,,
307,5,2,4,1,,"307,5,2,4,1",,,,,,,,,,,
308,4,2,16,1,,"308,4,2,16,1",,,,,,,,,,,
309,4,2,16,1,,"309,4,2,16,1",,,,,,,,,,,
310,2,1,8,4,,"310,2,1,8,4",,,,,,,,,,,
311,4,4,4,1,,"311,4,4,4,1",,,,,,,,,,,
312,2,5,4,4,,"312,2,5,4,4",,,,,,,,,,,
313,5,2,4,5,,"313,5,2,4,5",,,,,,,,,,,
314,2,2,16,2,,"314,2,2,16,2",,,,,,,,,,,
315,5,2,16,3,,"315,5,2,16,3",,,,,,,,,,,
316,5,3,4,2,,"316,5,3,4,2",,,,,,,,,,,
317,1,4,16,5,,"317,1,4,16,5",,,,,,,,,,,
318,4,1,16,1,,"318,4,1,16,1",,,,,,,,,,,
319,4,2,8,1,,"319,4,2,8,1",,,,,,,,,,,
320,4,3,16,4,,"320,4,3,16,4",,,,,,,,,,,
321,3,5,4,5,,"321,3,5,4,5",,,,,,,,,,,
322,2,4,4,5,,"322,2,4,4,5",,,,,,,,,,,
323,1,2,8,1,,"323,1,2,8,1",,,,,,,,,,,
324,3,3,8,1,,"324,3,3,8,1",,,,,,,,,,,
325,3,1,8,2,,"325,3,1,8,2",,,,,,,,,,,
326,5,1,16,3,,"326,5,1,16,3",,,,,,,,,,,
327,5,1,8,4,,"327,5,1,8,4",,,,,,,,,,,
328,1,4,4,3,,"328,1,4,4,3",,,,,,,,,,,
329,3,1,4,4,,"329,3,1,4,4",,,,,,,,,,,
330,5,1,16,4,,"330,5,1,16,4",,,,,,,,,,,
331,3,2,8,1,,"331,3,2,8,1",,,,,,,,,,,
332,3,5,4,4,,"332,3,5,4,4",,,,,,,,,,,
333,5,2,16,5,,"333,5,2,16,5",,,,,,,,,,,
334,2,5,4,1,,"334,2,5,4,1",,,,,,,,,,,
335,2,3,4,2,,"335,2,3,4,2",,,,,,,,,,,
336,5,5,4,1,,"336,5,5,4,1",,,,,,,,,,,
337,3,4,8,1,,"337,3,4,8,1",,,,,,,,,,,
338,3,4,8,5,,"338,3,4,8,5",,,,,,,,,,,
339,4,1,8,3,,"339,4,1,8,3",,,,,,,,,,,
340,2,2,4,2,,"340,2,2,4,2",,,,,,,,,,,
341,3,3,16,4,,"341,3,3,16,4",,,,,,,,,,,
342,2,3,8,3,,"342,2,3,8,3",,,,,,,,,,,
343,1,4,8,5,,"343,1,4,8,5",,,,,,,,,,,
344,2,4,4,5,,"344,2,4,4,5",,,,,,,,,,,
345,1,5,16,3,,"345,1,5,16,3",,,,,,,,,,,
346,1,3,8,2,,"346,1,3,8,2",,,,,,,,,,,
347,1,5,8,3,,"347,1,5,8,3",,,,,,,,,,,
348,3,5,16,2,,"348,3,5,16,2",,,,,,,,,,,
349,2,3,16,2,,"349,2,3,16,2",,,,,,,,,,,
350,1,5,4,5,,"350,1,5,4,5",,,,,,,,,,,
351,4,3,16,3,,"351,4,3,16,3",,,,,,,,,,,
352,4,3,8,5,,"352,4,3,8,5",,,,,,,,,,,
353,5,4,4,4,,"353,5,4,4,4",,,,,,,,,,,
354,1,4,4,2,,"354,1,4,4,2",,,,,,,,,,,
355,4,2,4,3,,"355,4,2,4,3",,,,,,,,,,,
356,4,1,4,5,,"356,4,1,4,5",,,,,,,,,,,
357,4,4,4,4,,"357,4,4,4,4",,,,,,,,,,,
358,3,4,8,2,,"358,3,4,8,2",,,,,,,,,,,
359,3,4,8,3,,"359,3,4,8,3",,,,,,,,,,,
360,3,4,4,1,,"360,3,4,4,1",,,,,,,,,,,
361,2,5,4,5,,"361,2,5,4,5",,,,,,,,,,,
362,5,3,4,5,,"362,5,3,4,5",,,,,,,,,,,
363,1,1,8,3,,"363,1,1,8,3",,,,,,,,,,,
364,1,5,4,2,,"364,1,5,4,2",,,,,,,,,,,
365,3,3,4,1,,"365,3,3,4,1",,,,,,,,,,,
366,5,1,4,2,,"366,5,1,4,2",,,,,,,,,,,
367,5,2,8,5,,"367,5,2,8,5",,,,,,,,,,,
368,1,5,16,1,,"368,1,5,16,1",,,,,,,,,,,
369,5,2,8,3,,"369,5,2,8,3",,,,,,,,,,,
370,3,1,16,1,,"370,3,1,16,1",,,,,,,,,,,
371,3,1,8,3,,"371,3,1,8,3",,,,,,,,,,,
372,4,4,4,3,,"372,4,4,4,3",,,,,,,,,,,
373,2,5,16,2,,"373,2,5,16,2",,,,,,,,,,,
374,4,3,16,3,,"374,4,3,16,3",,,,,,,,,,,
375,5,2,4,3,,"375,5,2,4,3",,,,,,,,,,,
376,4,1,4,2,,"376,4,1,4,2",,,,,,,,,,,
377,5,4,8,2,,"377,5,4,8,2",,,,,,,,,,,
378,4,3,16,2,,"378,4,3,16,2",,,,,,,,,,,
379,2,4,4,5,,"379,2,4,4,5",,,,,,,,,,,
380,5,5,4,5,,"380,5,5,4,5",,,,,,,,,,,
381,2,3,4,2,,"381,2,3,4,2",,,,,,,,,,,
382,4,3,4,1,,"382,4,3,4,1",,,,,,,,,,,
383,3,2,16,1,,"383,3,2,16,1",,,,,,,,,,,
384,3,5,4,5,,"384,3,5,4,5",,,,,,,,,,,
385,1,2,8,1,,"385,1,2,8,1",,,,,,,,,,,
386,2,5,8,4,,"386,2,5,8,4",,,,,,,,,,,
387,2,4,16,3,,"387,2,4,16,3",,,,,,,,,,,
388,2,2,4,2,,"388,2,2,4,2",,,,,,,,,,,
389,2,2,8,4,,"389,2,2,8,4",,,,,,,,,,,
390,2,1,16,5,,"390,2,1,16,5",,,,,,,,,,,
391,1,4,4,4,,"391,1,4,4,4",,,,,,,,,,,
392,5,4,8,5,,"392,5,4,8,5",,,,,,,,,,,
393,5,4,8,2,,"393,5,4,8,2",,,,,,,,,,,
394,4,3,8,1,,"394,4,3,8,1",,,,,,,,,,,
395,2,5,8,5,,"395,2,5,8,5",,,,,,,,,,,
396,4,2,16,3,,"396,4,2,16,3",,,,,,,,,,,
397,3,2,16,3,,"397,3,2,16,3",,,,,,,,,,,
398,3,2,8,4,,"398,3,2,8,4",,,,,,,,,,,
399,4,3,4,4,,"399,4,3,4,4",,,,,,,,,,,
400,3,1,4,1,,"400,3,1,4,1",,,,,,,,,,,
401,4,3,4,3,,"401,4,3,4,3",,,,,,,,,,,
402,4,2,16,1,,"402,4,2,16,1",,,,,,,,,,,
403,1,4,4,4,,"403,1,4,4,4",,,,,,,,,,,
404,3,4,4,1,,"404,3,4,4,1",,,,,,,,,,,
405,5,1,8,3,,"405,5,1,8,3",,,,,,,,,,,
406,3,4,4,1,,"406,3,4,4,1",,,,,,,,,,,
407,3,2,16,2,,"407,3,2,16,2",,,,,,,,,,,
408,5,3,8,1,,"408,5,3,8,1",,,,,,,,,,,
409,1,5,8,4,,"409,1,5,8,4",,,,,,,,,,,
410,3,2,4,3,,"410,3,2,4,3",,,,,,,,,,,
411,5,1,4,2,,"411,5,1,4,2",,,,,,,,,,,
412,2,5,16,4,,"412,2,5,16,4",,,,,,,,,,,
413,5,3,16,1,,"413,5,3,16,1",,,,,,,,,,,
414,4,5,8,2,,"414,4,5,8,2",,,,,,,,,,,
415,4,1,16,5,,"415,4,1,16,5",,,,,,,,,,,
416,3,2,16,1,,"416,3,2,16,1",,,,,,,,,,,
417,4,5,16,4,,"417,4,5,16,4",,,,,,,,,,,
418,5,1,4,2,,"418,5,1,4,2",,,,,,,,,,,
419,1,3,4,2,,"419,1,3,4,2",,,,,,,,,,,
420,3,4,4,1,,"420,3,4,4,1",,,,,,,,,,,
421,3,5,16,5,,"421,3,5,16,5",,,,,,,,,,,
